Time,POE,Lane,Open,Stacked,Volume,Capacity,Unmet,Wait Time,NB POV Toll,NB Trk Toll,SB POV Toll,SB Trk Toll
5,"SY","POV_RE",11.000000,11.000000,1638.047954,957.000000,681.047954,21.349466,0.000000,0.000000,0.000000,0.000000
5,"SY","POV_SE",4.000000,0.000000,663.674410,464.000000,199.674410,12.909983,0.000000,0.000000,0.000000,0.000000
5,"SY","POV_SB",5.000000,0.000000,450.890749,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,"OM","POV_GP",1.000000,0.000000,165.935528,60.000000,105.935528,52.967764,0.000000,0.000000,0.000000,0.000000
5,"OM","POV_RE",5.000000,0.000000,631.860486,395.000000,236.860486,17.989404,0.000000,0.000000,0.000000,0.000000
5,"OM","POV_SE",0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,"OM","POV_SB",2.000000,0.000000,133.295885,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,"OM","COM_GP",1.000000,0.000000,0.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,"OM","COM_SP",1.000000,0.000000,0.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,"OM","COM_SB",4.000000,0.000000,0.000000,356.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,"SY","POV_GP",6.000000,6.000000,1184.436420,468.000000,716.436420,45.925412,0.000000,0.000000,0.000000,0.000000
6,"SY","POV_RE",8.000000,8.000000,1370.787535,696.000000,674.787535,29.085670,0.000000,0.000000,0.000000,0.000000
6,"SY","POV_SE",6.000000,0.000000,1088.647657,696.000000,392.647657,16.924468,0.000000,0.000000,0.000000,0.000000
6,"SY","POV_SB",5.000000,0.000000,730.242542,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,"OM","POV_GP",4.000000,0.000000,528.307911,240.000000,288.307911,36.038489,0.000000,0.000000,0.000000,0.000000
6,"OM","POV_RE",7.000000,0.000000,946.332422,553.000000,393.332422,21.338106,0.000000,0.000000,0.000000,0.000000
6,"OM","POV_SE",2.000000,0.000000,359.480199,250.000000,109.480199,13.137624,0.000000,0.000000,0.000000,0.000000
6,"OM","POV_SB",2.000000,0.000000,190.498055,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,"OM","COM_GP",1.000000,0.000000,0.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,"OM","COM_SP",1.000000,0.000000,0.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,"OM","COM_SB",4.000000,0.000000,0.000000,356.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,"SY","POV_GP",4.000000,4.000000,1033.709778,312.000000,721.709778,69.395171,0.000000,0.000000,0.000000,0.000000
7,"SY","POV_RE",7.000000,7.000000,1332.307707,609.000000,723.307707,35.630922,0.000000,0.000000,0.000000,0.000000
7,"SY","POV_SE",8.000000,0.000000,1518.298403,928.000000,590.298403,19.082923,0.000000,0.000000,0.000000,0.000000
7,"SY","POV_SB",5.000000,0.000000,908.699022,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,"OM","POV_GP",4.000000,0.000000,726.794678,240.000000,486.794678,60.849335,0.000000,0.000000,0.000000,0.000000
7,"OM","POV_RE",7.000000,0.000000,996.694418,553.000000,443.694418,24.070222,0.000000,0.000000,0.000000,0.000000
7,"OM","POV_SE",2.000000,0.000000,353.292271,250.000000,103.292271,12.395072,0.000000,0.000000,0.000000,0.000000
7,"OM","POV_SB",2.000000,0.000000,166.903902,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,"OM","COM_GP",7.000000,0.000000,296.073456,161.000000,135.073456,25.168967,0.000000,0.000000,0.000000,0.000000
7,"OM","COM_SP",1.000000,0.000000,10.562023,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,"OM","COM_SB",4.000000,0.000000,0.000000,356.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,"SY","POV_GP",5.000000,5.000000,1323.676948,390.000000,933.676948,71.821304,0.000000,0.000000,0.000000,0.000000
8,"SY","POV_RE",7.000000,7.000000,1375.035853,609.000000,766.035853,37.735756,0.000000,0.000000,0.000000,0.000000
8,"SY","POV_SE",8.000000,0.000000,1444.011912,928.000000,516.011912,16.681420,0.000000,0.000000,0.000000,0.000000
8,"SY","POV_SB",5.000000,0.000000,1103.715983,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,"OM","POV_GP",3.000000,0.000000,603.243331,180.000000,423.243331,70.540555,0.000000,0.000000,0.000000,0.000000
8,"OM","POV_RE",6.000000,0.000000,1016.584802,474.000000,542.584802,34.340810,0.000000,0.000000,0.000000,0.000000
8,"OM","POV_SE",4.000000,0.000000,724.736522,500.000000,224.736522,13.484191,0.000000,0.000000,0.000000,0.000000
8,"OM","POV_SB",2.000000,0.000000,379.562032,1536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,"OM","COM_GP",6.000000,0.000000,298.858770,138.000000,160.858770,34.969298,0.000000,0.000000,0.000000,0.000000
8,"OM","COM_SP",2.000000,0.000000,43.860600,46.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,"OM","COM_SB",4.000000,0.000000,0.000000,356.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
